"","HORAS","DIAS","ID","TOT","HORAS_L"
"1",0,"lunes","lunes.0",2,"00:00"
"2",1,"lunes","lunes.1",1,"01:00"
"3",2,"lunes","lunes.2",0,"02:00"
"4",3,"lunes","lunes.3",0,"03:00"
"5",4,"lunes","lunes.4",0,"04:00"
"6",5,"lunes","lunes.5",0,"05:00"
"7",6,"lunes","lunes.6",2,"06:00"
"8",7,"lunes","lunes.7",2,"07:00"
"9",8,"lunes","lunes.8",5,"08:00"
"10",9,"lunes","lunes.9",17,"09:00"
"11",10,"lunes","lunes.10",18,"10:00"
"12",11,"lunes","lunes.11",27,"11:00"
"13",12,"lunes","lunes.12",36,"12:00"
"14",13,"lunes","lunes.13",29,"13:00"
"15",14,"lunes","lunes.14",30,"14:00"
"16",15,"lunes","lunes.15",61,"15:00"
"17",16,"lunes","lunes.16",40,"16:00"
"18",17,"lunes","lunes.17",10,"17:00"
"19",18,"lunes","lunes.18",8,"18:00"
"20",19,"lunes","lunes.19",4,"19:00"
"21",20,"lunes","lunes.20",12,"20:00"
"22",21,"lunes","lunes.21",4,"21:00"
"23",22,"lunes","lunes.22",5,"22:00"
"24",23,"lunes","lunes.23",3,"23:00"
"25",0,"martes","martes.0",3,"00:00"
"26",1,"martes","martes.1",0,"01:00"
"27",2,"martes","martes.2",0,"02:00"
"28",3,"martes","martes.3",0,"03:00"
"29",4,"martes","martes.4",1,"04:00"
"30",5,"martes","martes.5",0,"05:00"
"31",6,"martes","martes.6",4,"06:00"
"32",7,"martes","martes.7",2,"07:00"
"33",8,"martes","martes.8",3,"08:00"
"34",9,"martes","martes.9",9,"09:00"
"35",10,"martes","martes.10",25,"10:00"
"36",11,"martes","martes.11",26,"11:00"
"37",12,"martes","martes.12",50,"12:00"
"38",13,"martes","martes.13",62,"13:00"
"39",14,"martes","martes.14",40,"14:00"
"40",15,"martes","martes.15",36,"15:00"
"41",16,"martes","martes.16",27,"16:00"
"42",17,"martes","martes.17",9,"17:00"
"43",18,"martes","martes.18",7,"18:00"
"44",19,"martes","martes.19",7,"19:00"
"45",20,"martes","martes.20",6,"20:00"
"46",21,"martes","martes.21",6,"21:00"
"47",22,"martes","martes.22",4,"22:00"
"48",23,"martes","martes.23",5,"23:00"
"49",0,"miércoles","miércoles.0",1,"00:00"
"50",1,"miércoles","miércoles.1",1,"01:00"
"51",2,"miércoles","miércoles.2",2,"02:00"
"52",3,"miércoles","miércoles.3",1,"03:00"
"53",4,"miércoles","miércoles.4",0,"04:00"
"54",5,"miércoles","miércoles.5",0,"05:00"
"55",6,"miércoles","miércoles.6",2,"06:00"
"56",7,"miércoles","miércoles.7",3,"07:00"
"57",8,"miércoles","miércoles.8",3,"08:00"
"58",9,"miércoles","miércoles.9",11,"09:00"
"59",10,"miércoles","miércoles.10",22,"10:00"
"60",11,"miércoles","miércoles.11",43,"11:00"
"61",12,"miércoles","miércoles.12",57,"12:00"
"62",13,"miércoles","miércoles.13",54,"13:00"
"63",14,"miércoles","miércoles.14",39,"14:00"
"64",15,"miércoles","miércoles.15",47,"15:00"
"65",16,"miércoles","miércoles.16",29,"16:00"
"66",17,"miércoles","miércoles.17",12,"17:00"
"67",18,"miércoles","miércoles.18",3,"18:00"
"68",19,"miércoles","miércoles.19",5,"19:00"
"69",20,"miércoles","miércoles.20",8,"20:00"
"70",21,"miércoles","miércoles.21",5,"21:00"
"71",22,"miércoles","miércoles.22",8,"22:00"
"72",23,"miércoles","miércoles.23",5,"23:00"
"73",0,"jueves","jueves.0",1,"00:00"
"74",1,"jueves","jueves.1",4,"01:00"
"75",2,"jueves","jueves.2",0,"02:00"
"76",3,"jueves","jueves.3",0,"03:00"
"77",4,"jueves","jueves.4",0,"04:00"
"78",5,"jueves","jueves.5",0,"05:00"
"79",6,"jueves","jueves.6",0,"06:00"
"80",7,"jueves","jueves.7",2,"07:00"
"81",8,"jueves","jueves.8",5,"08:00"
"82",9,"jueves","jueves.9",10,"09:00"
"83",10,"jueves","jueves.10",18,"10:00"
"84",11,"jueves","jueves.11",36,"11:00"
"85",12,"jueves","jueves.12",46,"12:00"
"86",13,"jueves","jueves.13",53,"13:00"
"87",14,"jueves","jueves.14",58,"14:00"
"88",15,"jueves","jueves.15",69,"15:00"
"89",16,"jueves","jueves.16",37,"16:00"
"90",17,"jueves","jueves.17",12,"17:00"
"91",18,"jueves","jueves.18",5,"18:00"
"92",19,"jueves","jueves.19",4,"19:00"
"93",20,"jueves","jueves.20",9,"20:00"
"94",21,"jueves","jueves.21",6,"21:00"
"95",22,"jueves","jueves.22",3,"22:00"
"96",23,"jueves","jueves.23",1,"23:00"
"97",0,"viernes","viernes.0",1,"00:00"
"98",1,"viernes","viernes.1",2,"01:00"
"99",2,"viernes","viernes.2",2,"02:00"
"100",3,"viernes","viernes.3",0,"03:00"
"101",4,"viernes","viernes.4",0,"04:00"
"102",5,"viernes","viernes.5",1,"05:00"
"103",6,"viernes","viernes.6",4,"06:00"
"104",7,"viernes","viernes.7",6,"07:00"
"105",8,"viernes","viernes.8",3,"08:00"
"106",9,"viernes","viernes.9",11,"09:00"
"107",10,"viernes","viernes.10",24,"10:00"
"108",11,"viernes","viernes.11",42,"11:00"
"109",12,"viernes","viernes.12",41,"12:00"
"110",13,"viernes","viernes.13",68,"13:00"
"111",14,"viernes","viernes.14",55,"14:00"
"112",15,"viernes","viernes.15",53,"15:00"
"113",16,"viernes","viernes.16",40,"16:00"
"114",17,"viernes","viernes.17",19,"17:00"
"115",18,"viernes","viernes.18",9,"18:00"
"116",19,"viernes","viernes.19",9,"19:00"
"117",20,"viernes","viernes.20",11,"20:00"
"118",21,"viernes","viernes.21",6,"21:00"
"119",22,"viernes","viernes.22",5,"22:00"
"120",23,"viernes","viernes.23",4,"23:00"
"121",0,"sábado","sábado.0",4,"00:00"
"122",1,"sábado","sábado.1",3,"01:00"
"123",2,"sábado","sábado.2",0,"02:00"
"124",3,"sábado","sábado.3",4,"03:00"
"125",4,"sábado","sábado.4",2,"04:00"
"126",5,"sábado","sábado.5",3,"05:00"
"127",6,"sábado","sábado.6",3,"06:00"
"128",7,"sábado","sábado.7",3,"07:00"
"129",8,"sábado","sábado.8",2,"08:00"
"130",9,"sábado","sábado.9",5,"09:00"
"131",10,"sábado","sábado.10",12,"10:00"
"132",11,"sábado","sábado.11",9,"11:00"
"133",12,"sábado","sábado.12",25,"12:00"
"134",13,"sábado","sábado.13",19,"13:00"
"135",14,"sábado","sábado.14",21,"14:00"
"136",15,"sábado","sábado.15",11,"15:00"
"137",16,"sábado","sábado.16",9,"16:00"
"138",17,"sábado","sábado.17",8,"17:00"
"139",18,"sábado","sábado.18",3,"18:00"
"140",19,"sábado","sábado.19",3,"19:00"
"141",20,"sábado","sábado.20",5,"20:00"
"142",21,"sábado","sábado.21",4,"21:00"
"143",22,"sábado","sábado.22",0,"22:00"
"144",23,"sábado","sábado.23",1,"23:00"
"145",0,"domingo","domingo.0",0,"00:00"
"146",1,"domingo","domingo.1",2,"01:00"
"147",2,"domingo","domingo.2",0,"02:00"
"148",3,"domingo","domingo.3",0,"03:00"
"149",4,"domingo","domingo.4",1,"04:00"
"150",5,"domingo","domingo.5",0,"05:00"
"151",6,"domingo","domingo.6",0,"06:00"
"152",7,"domingo","domingo.7",3,"07:00"
"153",8,"domingo","domingo.8",4,"08:00"
"154",9,"domingo","domingo.9",4,"09:00"
"155",10,"domingo","domingo.10",5,"10:00"
"156",11,"domingo","domingo.11",8,"11:00"
"157",12,"domingo","domingo.12",6,"12:00"
"158",13,"domingo","domingo.13",4,"13:00"
"159",14,"domingo","domingo.14",1,"14:00"
"160",15,"domingo","domingo.15",8,"15:00"
"161",16,"domingo","domingo.16",2,"16:00"
"162",17,"domingo","domingo.17",2,"17:00"
"163",18,"domingo","domingo.18",2,"18:00"
"164",19,"domingo","domingo.19",6,"19:00"
"165",20,"domingo","domingo.20",0,"20:00"
"166",21,"domingo","domingo.21",2,"21:00"
"167",22,"domingo","domingo.22",3,"22:00"
"168",23,"domingo","domingo.23",2,"23:00"
